user_id,age,income,credit_score,num_debt_accounts,total_debt_balance,total_minimum_payments,debt_to_income_ratio,avg_interest_rate,max_interest_rate,recommended_strategy,estimated_interest_savings,estimated_payoff_months,ml_optimization_benefit
1,27.0,72490.14,687.0,3.0,24659.35,447.53,34.02,13.39,16.92,ml_optimized,1417.91,38.08,184.95
2,25.0,63788.37,732.0,4.0,56644.69,560.67,88.8,10.23,16.51,ml_optimized,3257.07,74.47,424.84
3,60.0,63034.15,548.0,4.0,117282.31,829.2,186.06,5.77,6.18,ml_optimized,6743.73,113.96,879.62
4,48.0,30000.0,814.0,1.0,31322.05,243.1,104.41,6.21,6.21,ml_optimized,1801.02,70.69,234.92
5,57.0,53727.94,553.0,2.0,27822.65,257.36,51.78,12.07,19.39,ml_optimized,1599.8,60.83,208.67
6,30.0,52135.36,570.0,4.0,44308.03,546.32,84.99,11.55,17.42,ml_optimized,2547.71,59.37,332.31
7,55.0,33436.25,621.0,4.0,54501.36,499.95,163.0,11.5,21.38,ml_optimized,3133.83,77.86,408.76
8,36.0,30000.0,672.0,3.0,54615.52,521.37,182.05,8.28,13.64,ml_optimized,3140.39,75.71,409.62
9,49.0,54378.86,589.0,2.0,26748.68,243.41,49.19,7.37,7.96,ml_optimized,1538.05,60.33,200.62
10,55.0,60097.82,783.0,1.0,3905.09,78.1,6.5,17.46,17.46,ml_optimized,224.54,14.04,29.29
11,38.0,41095.65,483.0,3.0,24528.33,391.49,59.69,14.12,18.72,ml_optimized,1410.38,41.47,183.96
12,32.0,82036.53,692.0,3.0,57674.5,561.85,70.3,9.91,14.79,ml_optimized,3316.28,75.7,432.56
13,41.0,66314.59,850.0,2.0,4770.23,73.0,7.19,16.88,22.88,ml_optimized,274.29,17.47,35.78
14,35.0,49673.28,624.0,3.0,53827.45,428.35,108.36,6.52,7.65,ml_optimized,3095.08,85.66,403.71
15,44.0,86826.64,538.0,2.0,16028.9,175.99,18.46,8.77,9.16,ml_optimized,921.66,42.63,120.22
16,55.0,30321.81,708.0,3.0,36791.65,600.42,121.34,13.1,13.36,ml_optimized,2115.52,45.97,275.94
17,33.0,41688.09,779.0,4.0,53617.89,519.34,128.62,14.5,24.89,ml_optimized,3083.03,74.54,402.13
18,53.0,44056.57,572.0,1.0,18085.11,155.8,41.05,6.89,6.89,ml_optimized,1039.89,50.83,135.64
19,56.0,56196.74,701.0,2.0,27432.38,368.99,48.81,12.92,16.02,ml_optimized,1577.36,48.21,205.74
20,32.0,30000.0,627.0,3.0,24311.75,354.03,81.04,12.1,16.57,ml_optimized,1397.93,43.88,182.34
21,61.0,30000.0,654.0,4.0,39559.77,518.27,131.87,14.86,24.17,ml_optimized,2274.69,55.08,296.7
22,57.0,51023.49,683.0,4.0,46994.45,663.69,92.1,15.63,23.52,ml_optimized,2702.18,54.41,352.46
23,46.0,80044.83,609.0,4.0,96873.55,578.31,121.02,4.89,5.46,ml_optimized,5570.23,120.0,726.55
24,58.0,30311.15,556.0,1.0,4146.05,82.92,13.68,22.72,22.72,ml_optimized,238.4,14.65,31.1
25,56.0,32294.97,644.0,3.0,27971.78,235.61,86.61,8.02,12.18,ml_optimized,1608.38,64.21,209.79
26,57.0,30000.0,537.0,4.0,86737.7,662.3,289.13,6.68,9.52,ml_optimized,4987.42,100.59,650.53
27,26.0,30000.0,793.0,3.0,73475.81,527.78,244.92,6.07,7.32,ml_optimized,4224.86,100.96,551.07
28,26.0,49193.31,641.0,1.0,39012.07,287.35,79.3,5.89,5.89,ml_optimized,2243.19,80.05,292.59
29,45.0,74977.75,576.0,3.0,34509.32,457.93,46.03,12.87,17.07,ml_optimized,1984.29,52.45,258.82
30,29.0,96975.18,662.0,3.0,39695.97,346.45,40.93,11.7,23.09,ml_optimized,2282.52,72.64,297.72
31,43.0,30000.0,747.0,4.0,61614.59,815.56,205.38,10.93,15.42,ml_optimized,3542.84,60.67,462.11
32,31.0,44624.33,603.0,2.0,19302.97,290.7,43.26,12.79,14.5,ml_optimized,1109.92,39.34,144.77
33,60.0,74059.78,638.0,1.0,1514.7,30.29,2.05,15.78,15.78,ml_optimized,87.1,6.58,11.36
34,47.0,66435.11,556.0,1.0,3811.39,76.23,5.74,18.21,18.21,ml_optimized,219.16,13.8,28.59
35,58.0,63992.22,767.0,3.0,16351.26,327.03,25.55,18.64,21.63,ml_optimized,940.2,31.03,122.63
36,49.0,56488.64,723.0,2.0,34462.41,295.46,61.01,7.04,7.69,ml_optimized,1981.59,69.56,258.47
37,59.0,30000.0,802.0,3.0,31616.58,485.5,105.39,13.69,18.71,ml_optimized,1817.95,46.12,237.12
38,28.0,46803.91,666.0,2.0,63083.58,496.42,134.78,6.4,7.07,ml_optimized,3627.31,90.58,473.13
39,28.0,42607.92,669.0,4.0,84310.03,638.99,197.87,6.33,7.87,ml_optimized,4847.83,100.49,632.33
40,39.0,30000.0,850.0,1.0,4497.72,89.95,14.99,24.15,24.15,ml_optimized,258.62,15.51,33.73
41,40.0,66067.52,736.0,3.0,56965.62,480.0,86.22,7.92,13.19,ml_optimized,3275.52,83.77,427.24
42,45.0,30186.95,695.0,2.0,47622.8,427.8,157.76,7.82,8.88,ml_optimized,2738.31,75.86,357.17
43,29.0,37152.49,611.0,4.0,30240.98,570.32,81.4,18.4,22.17,ml_optimized,1738.86,39.26,226.81
44,29.0,38493.98,523.0,2.0,14107.84,251.54,36.65,14.09,15.32,ml_optimized,811.2,31.24,105.81
45,35.0,72612.98,537.0,4.0,64489.58,621.88,88.81,11.83,17.94,ml_optimized,3708.15,78.47,483.67
46,52.0,85152.2,658.0,1.0,8298.47,136.03,9.75,13.11,13.11,ml_optimized,477.16,24.7,62.24
47,59.0,33807.87,748.0,3.0,15922.04,318.44,47.1,21.41,23.43,ml_optimized,915.52,30.71,119.42
48,50.0,66889.81,684.0,3.0,32517.87,454.92,48.61,13.87,17.77,ml_optimized,1869.78,49.65,243.88
49,43.0,50407.84,674.0,1.0,8973.55,72.63,17.8,6.47,6.47,ml_optimized,515.98,32.92,67.3
50,42.0,74608.13,602.0,2.0,41637.4,324.64,55.81,5.66,7.19,ml_optimized,2394.15,79.36,312.28
